gene,arm
CACYBP,1q
CADM3,1q
CADM3-AS1,1q
CALML6,1p
CALR4P,1p
CAMK1G,1q
CAMK2N1,1p
CAMSAP2,1q
CAMTA1,1p
CAMTA1-AS2,1p
CAMTA1-DT,1p
CAP1,1p
CAPN2,1q
CAPN8,1q
CAPN9,1q
CAPZA1,1p
CAPZB,1p
CASP9,1p
CASQ1,1q
CASQ2,1p
CASZ1,1p
CATSPER4,1p
CATSPERE,1q
CC2D1B,1p
CCDC163,1p
CCDC17,1p
CCDC18,1p
CCDC18-AS1,1p
CCDC181,1q
CCDC185,1q
CCDC190,1q
CCDC24,1p
CCDC27,1p
CCDC28B,1p
CCDC30,1p
CCN1,1p
CCNL2,1p
CCSAP,1q
CCT3,1q
CD101,1p
CD160,1q
CD164L2,1p
CD1A,1q
CD1B,1q
CD1C,1q
CD1D,1q
CD1E,1q
CD2,1p
CD244,1q
CD247,1q
CD34,1q
CD46,1q
CD48,1q
CD52,1p
CD53,1p
CD55,1q
CD58,1p
CD5L,1q
CD84,1q
CDA,1p
CDC14A,1p
CDC20,1p
CDC42,1p
CDC42BPA,1q
CDC42SE1,1q
CDC7,1p
CDC73,1q
CDCA8,1p
CDCP2,1p
CDK11A,1p
CDK11B,1p
CDK18,1q
CDKN2C,1p
CELA2A,1p
CELA2B,1p
CELA3A,1p
CELA3B,1p
CELF3,1q
CELSR2,1p
CENPF,1q
CENPL,1q
CENPS,1p
CENPS-CORT,1p
CEP104,1p
CEP170,1q
CEP350,1q
CEP85,1p
CEPT1,1p
CERS2,1q
CFAP126,1q
CFAP45,1q
CFAP57,1p
CFAP74,1p
CFH,1q
CFHR1,1q
CFHR2,1q
CFHR3,1q
CFHR4,1q
CFHR5,1q
CGN,1q
CHD1L,1q
CHD5,1p
CHI3L1,1q
CHI3L2,1p
CHIA,1p
CHIAP2,1p
CHIT1,1q
CHML,1q
CHRM3,1q
CHRM3-AS1,1q
CHRM3-AS2,1q
CHRNB2,1q
CHTOP,1q
CIART,1q
CITED4,1p
CKS1B,1q
CLCA1,1p
CLCA2,1p
CLCA3P,1p
CLCA4,1p
CLCA4-AS1,1p
CLCC1,1p
CLCN6,1p
CLCNKA,1p
CLCNKB,1p
CLDN19,1p
CLIC4,1p
CLK2,1q
CLSPN,1p
CLSTN1,1p
CMPK1,1p
CNIH3,1q
CNIH4,1q
CNKSR1,1p
CNN3,1p
CNN3-DT,1p
CNR2,1p
CNST,1q
CNTN2,1q
COA6,1q
COA6-AS1,1q
COA7,1p
COG2,1q
COL11A1,1p
COL16A1,1p
COL24A1,1p
COL8A2,1p
COL9A2,1p
COLGALT2,1q
COP1,1q
COPA,1q
COQ8A,1q
CORT,1p
COX20,1q
CPLANE2,1p
CPT2,1p
CPTP,1p
CR1,1q
CR1L,1q
CR2,1q
CRABP2,1q
CRB1,1q
CRCT1,1q
CREB3L4,1q
CREG1,1q
CRNN,1q
CROCC,1p
CROCCP2,1p
CROCCP3,1p
CRP,1q
CRTC2,1q
CRYBG2,1p
CRYZ,1p
CRYZL2P,1q
CRYZL2P-SEC16B,1q
CSDE1,1p
CSF1,1p
CSF3R,1p
CSMD2,1p
CSMD2-AS1,1p
CSRP1,1q
CTBS,1p
CTH,1p
CTNNBIP1,1p
CTPS1,1p
CTRC,1p
CTSE,1q
CTSK,1q
CTSS,1q
CTTNBP2NL,1p
CTXND2,1q
CYB561D1,1p
CYB5R1,1q
CYB5RL,1p
CYCSP52,1q
CYMP,1p
CYMP-AS1,1p
CYP2J2,1p
CYP4A11,1p
CYP4A22,1p
CYP4B1,1p
CYP4X1,1p
CYP4Z1,1p
CYP4Z2P,1p
CZIB,1p
DAB1,1p
DAB1-AS1,1p
DAP3,1q
DARS2,1q
DBT,1p
DCAF6,1q
DCAF8,1q
DCDC2B,1p
DCLRE1B,1p
DCST1,1q
DCST1-AS1,1q
DCST2,1q
DDAH1,1p
DDI2,1p
DDOST,1p
DDR2,1q
DDX11L1,1p
DDX11L17,1p
DDX20,1p
DDX59,1q
DDX59-AS1,1q
DEDD,1q
DEGS1,1q
DENND1B,1q
DENND2C,1p
DENND2D,1p
DENND4B,1q
DEPDC1,1p
DEPDC1-AS1,1p
DESI2,1q
DFFA,1p
DFFB,1p
DHCR24,1p
DHDDS,1p
DHDDS-AS1,1p
DHRS3,1p
DHX9,1q
DIO1,1p
DIPK1A,1p
DIRAS3,1p
DISC1,1q
DISC1-IT1,1q
DISC2,1q
DISP1,1q
DISP3,1p
DLEU2L,1p
DLGAP3,1p
DLSTP1,1p
DMAP1,1p
DMBX1,1p
DMRTA2,1p
DMRTB1,1p
DNAH14,1q
DNAI3,1p
DNAI4,1p
DNAJA1P5,1p
DNAJB4,1p
DNAJC11,1p
DNAJC16,1p
DNAJC6,1p
DNAJC8,1p
DNALI1,1p
DNASE2B,1p
DNM3,1q
DNM3-IT1,1q
DNM3OS,1q
DNTTIP2,1p
DOCK7,1p
DPH2,1p
DPH5,1p
DPM3,1q
DPT,1q
DPYD,1p
DPYD-AS1,1p
DPYD-AS2,1p
DR1,1p
DRAM2,1p
DRAXIN,1p
DRD5P2,1q
DSTYK,1q
DTL,1q
DUSP10,1q
DUSP12,1q
DUSP23,1q
DUSP5P1,1q
DVL1,1p
DYRK3,1q
E2F2,1p
EBNA1BP2,1p
ECE1,1p
ECE1-AS1,1p
ECHDC2,1p
ECM1,1q
EDARADD,1q
EDEM3,1q
EDN2,1p
EEF1AKNMT,1q
EFCAB14,1p
EFCAB14-AS1,1p
EFCAB2,1q
EFCAB7,1p
EFHD2,1p
EFNA1,1q
EFNA3,1q
EFNA4,1q
EGLN1,1q
EIF2B3,1p
EIF2D,1q
EIF3I,1p
EIF4G3,1p
ELAPOR1,1p
ELAVL4,1p
ELF3,1q
ELF3-AS1,1q
ELK4,1q
ELOA,1p
ELOA-AS1,1p
ELOVL1,1p
EMBP1,1p
EMC1,1p
EMC1-AS1,1p
ENAH,1q
ENO1,1p
ENO1-AS1,1p
ENSA,1q
EPB41,1p
EPHA10,1p
EPHA2,1p
EPHA8,1p
EPHB2,1p
EPHX1,1q
EPHX4,1p
EPRS1,1q
EPS15,1p
EPS8L3,1p
ERI3,1p
ERI3-IT1,1p
ERICH3,1p
ERICH3-AS1,1p
ERLNC1,1q
ERMAP,1p
ERO1B,1q
ERRFI1,1p
ESPN,1p
ESPNP,1p
ESRRG,1q
ETNK2,1q
ETV3,1q
ETV3L,1q
EVA1B,1p
EVI5,1p
EXO1,1q
EXO5,1p
EXOC8,1q
EXOSC10,1p
EXOSC10-AS1,1p
EXTL1,1p
EXTL2,1p
EYA3,1p
F11R,1q
F13B,1q
F3,1p
F5,1q
FAAH,1p
FAAHP1,1p
FAAP20,1p
FABP3,1p
FAF1,1p
FALEC,1q
FAM102B,1p
FAM110D,1p
FAM131C,1p
FAM138A,9p
FAM138C,9p
FAM138D,12p
FAM138F,9p
FAM151A,1p
FAM163A,1q
FAM167B,1p
FAM177B,1q
FAM183A,1p
FAM189B,1q
FAM20B,1q
FAM229A,1p
FAM41C,1p
FAM43B,1p
FAM71A,1q
FAM72A,1q
FAM72B,1p
FAM72C,1q
FAM72D,1q
FAM76A,1p
FAM78B,1q
FAM87B,1p
FAM89A,1q
FASLG,1q
FBLIM1,1p
FBXO2,1p
FBXO28,1q
FBXO42,1p
FBXO44,1p
FBXO6,1p
FCAMR,1q
FCER1A,1q
FCER1G,1q
FCGR1A,1q
FCGR1B,1p
FCGR1CP,1q
FCGR2A,1q
FCGR2B,1q
FCGR2C,1q
FCGR3A,1q
FCGR3B,1q
FCMR,1q
FCN3,1p
FCRL1,1q
FCRL2,1q
FCRL3,1q
FCRL4,1q
FCRL5,1q
FCRL6,1q
FCRLA,1q
FCRLB,1q
FDPS,1q
FGGY,1p
FGR,1p
FH,1q
FHAD1,1p
FHAD1-AS1,1p
FHL3,1p
FLAD1,1q
FLG,1q
FLG-AS1,1q
FLG2,1q
FLJ37453,1p
FLJ39095,1q
FLVCR1,1q
FLVCR1-DT,1q
FMN2,1q
FMO1,1q
FMO2,1q
FMO3,1q
FMO4,1q
FMO5,1q
FMO6P,1q
FMO9P,1q
FMOD,1q
FNBP1L,1p
FNDC10,1p
FNDC5,1p
FNDC7,1p
FOXD2,1p
FOXD2-AS1,1p
FOXD3,1p
FOXD3-AS1,1p
FOXE3,1p
FOXJ3,1p
FOXO6,1p
FOXO6-AS1,1p
FPGT,1p
FPGT-TNNI3K,1p
FRRS1,1p
FUBP1,1p
FUCA1,1p
FYB2,1p
G0S2,1q
GABPB2,1q
GABRD,1p
GADD45A,1p
GALE,1p
GALNT2,1q
GAS5,1q
GAS5-AS1,1q
GATAD2B,1q
GBA,1q
GBAP1,1q
GBP1,1p
GBP1P1,1p
GBP2,1p
GBP3,1p
GBP4,1p
GBP5,1p
GBP6,1p
GBP7,1p
GCLM,1p
GCSAML,1q
GCSAML-AS1,1q
GDAP2,1p
GEMIN8P4,1p
GFI1,1p
GGPS1,1q
GIPC2,1p
GJA4,1p
GJA5,1q
GJA8,1q
GJA9,1p
GJA9-MYCBP,1p
GJB3,1p
GJB4,1p
GJB5,1p
GJC2,1q
GLIS1,1p
GLMN,1p
GLMP,1q
GLRX2,1q
GLUL,1q
GMEB1,1p
GNAI3,1p
GNAT2,1p
GNB1,1p
GNG12,1p
GNG12-AS1,1p
GNG4,1q
GNG5,1p
GNL2,1p
GNPAT,1q
GNRHR2,1q
GOLPH3L,1q
GOLT1A,1q
GON4L,1q
GORAB,1q
GORAB-AS1,1q
GPA33,1q
GPATCH2,1q
GPATCH3,1p
GPATCH4,1q
GPBP1L1,1p
GPN2,1p
GPR137B,1q
GPR153,1p
GPR157,1p
GPR161,1q
GPR25,1q
GPR3,1p
GPR37L1,1q
GPR52,1q
GPR61,1p
GPR88,1p
GPR89A,1q
GPR89B,1q
GPSM2,1p
GPX7,1p
GREM2,1q
GRHL3,1p
GRIK3,1p
GS1-279B7.1,1q
GSTM1,1p
GSTM2,1p
GSTM3,1p
GSTM4,1p
GSTM5,1p
GTF2B,1p
GTF2IP20,1q
GUCA2A,1p
GUCA2B,1p
GUK1,1q
H2AC18,1q
H2AC19,1q
H2AC20,1q
H2AC21,1q
H2AW,1q
H2BC18,1q
H2BC20P,1q
H2BC21,1q
H2BP1,1p
H2BP2,1q
H2BU1,1q
H3-2,1q
H3-3A,1q
H3-4,1q
H3C13,1q
H3C14,1q
H3C15,1q
H3P4,1p
H3P6,2q
H4C14,1q
H4C15,1q
H6PD,1p
HAO2,1p
HAO2-IT1,1p
HAPLN2,1q
HAX1,1q
HCN3,1q
HCRTR1,1p
HDAC1,1p
HDGF,1q
HEATR1,1q
HECTD3,1p
HENMT1,1p
HES2,1p
HES3,1p
HES4,1p
HES5,1p
HEYL,1p
HFM1,1p
HHAT,1q
HHIPL2,1q
HHLA3,1p
HIPK1,1p
HIPK1-AS1,1p
HIVEP3,1p
HJV,1q
HLX,1q
HLX-AS1,1q
HMCN1,1q
HMGB4,1p
HMGCL,1p
HMGCS2,1p
HMGN2,1p
HNRNPCL1,1p
HNRNPCL2,1p
HNRNPCL3,1p
HNRNPCL4,1p
HNRNPR,1p
HNRNPU,1q
HOOK1,1p
HORMAD1,1q
HP1BP3,1p
HPCA,1p
HPCAL4,1p
HPDL,1p
HRNR,1q
HS2ST1,1p
HSD11B1,1q
HSD11B1-AS1,1q
HSD17B7,1q
HSD3B1,1p
HSD3B2,1p
HSD3BP4,1p
HSD52,1p
HSPA6,1q
HSPA7,1q
HSPB11,1p
HSPB7,1p
HSPG2,1p
HTR1D,1p
HTR6,1p
HYDIN2,1q
HYI,1p
IARS2,1q
IBA57,1q
IBA57-DT,1q
ICMT,1p
ID3,1p
IER5,1q
IFFO2,1p
IFI16,1q
IFI44,1p
IFI44L,1p
IFI6,1p
IFNLR1,1p
IGFN1,1q
IGSF21,1p
IGSF3,1p
IGSF8,1q
IGSF9,1q
IKBKE,1q
IL10,1q
IL12RB2,1p
IL19,1q
IL20,1q
IL22RA1,1p
IL23R,1p
IL24,1q
IL6R,1q
IL6R-AS1,1q
ILDR2,1q
ILF2,1q
INAVA,1q
INKA2,1p
INKA2-AS1,1p
INPP5B,1p
INSL5,1p
INSRR,1q
INTS11,1p
INTS3,1q
INTS7,1q
IPO13,1p
IPO9,1q
IPO9-AS1,1q
IPP,1p
IQCC,1p
IQGAP3,1q
IRF2BP2,1q
IRF6,1q
ISG15,1p
ISG20L2,1q
ITGA10,1q
ITGB3BP,1p
ITLN1,1q
ITLN2,1q
ITPKB,1q
ITPKB-IT1,1q
IVL,1q
IVNS1ABP,1q
JAK1,1p
JMJD4,1q
JTB,1q
JUN,1p
KANK4,1p
KAZN,1p
KAZN-AS1,1p
KCNA10,1p
KCNA2,1p
KCNA3,1p
KCNAB2,1p
KCNC4,1p
KCND3,1p
KCND3-AS1,1p
KCND3-IT1,1p
KCNH1,1q
KCNH1-IT1,1q
KCNJ10,1q
KCNJ9,1q
KCNK1,1q
KCNK2,1q
KCNN3,1q
KCNQ4,1p
KCNT2,1q
KCTD3,1q
KDF1,1p
KDM1A,1p
KDM4A,1p
KDM4A-AS1,1p
KDM5B,1q
KHDC4,1q
KHDRBS1,1p
KIAA0040,1q
KIAA0319L,1p
KIAA0754,1p
KIAA1522,1p
KIAA1614,1q
KIAA1614-AS1,1q
KIAA2013,1p
KIF14,1q
KIF17,1p
KIF1B,1p
KIF21B,1q
KIF26B,1q
KIF26B-AS1,1q
KIF2C,1p
KIFAP3,1q
KIRREL1,1q
KIRREL1-IT1,1q
KISS1,1q
KLF17,1p
KLF18,1p
KLHDC7A,1p
KLHDC8A,1q
KLHDC9,1q
KLHL12,1q
KLHL17,1p
KLHL20,1q
KLHL21,1p
KMO,1q
KNCN,1p
KPNA6,1p
KPRP,1q
KRTCAP2,1q
KTI12,1p
KYAT3,1p
L1TD1,1p
LACTBL1,1p
LAD1,1q
LAMB3,1q
LAMC1,1q
LAMC1-AS1,1q
LAMC2,1q
LAMTOR2,1q
LAMTOR5,1p
LAMTOR5-AS1,1p
LAPTM5,1p
LAX1,1q
LBR,1q
LCE1A,1q
LCE1B,1q
LCE1C,1q
LCE1D,1q
LCE1E,1q
LCE1F,1q
LCE2A,1q
LCE2B,1q
LCE2C,1q
LCE2D,1q
LCE3A,1q
LCE3B,1q
LCE3C,1q
LCE3D,1q
LCE3E,1q
LCE4A,1q
LCE5A,1q
LCE6A,1q
LCK,1p
LDC1P,1p
LDLRAD1,1p
LDLRAD2,1p
LDLRAP1,1p
LEFTY1,1q
LEFTY2,1q
LELP1,1q
LEMD1,1q
LEMD1-AS1,1q
LEMD1-DT,1q
LENEP,1q
LEPR,1p
LEPROT,1p
LEXM,1p
LGALS8,1q
LGALS8-AS1,1q
LGR6,1q
LHX4,1q
LHX4-AS1,1q
LHX8,1p
LHX9,1q
LIN28A,1p
LIN9,1q
LINC00115,1p
LINC00184,1q
LINC00210,1q
LINC00260,1q
LINC00272,1q
LINC00302,1q
LINC00303,1q
LINC00337,1p
LINC00339,1p
LINC00466,1p
LINC00467,1q
LINC00538,1q
LINC00582,1q
LINC00622,1p
LINC00623,1p
LINC00624,1q
LINC00626,1q
LINC00628,1q
LINC00853,1p
LINC00862,1q
LINC00869,1q
LINC00970,1q
LINC01031,1q
LINC01036,1q
LINC01037,1q
LINC01128,1p
LINC01132,1q
LINC01133,1q
LINC01134,1p
LINC01135,1p
LINC01136,1q
LINC01137,1p
LINC01138,1q
LINC01139,1q
LINC01140,1p
LINC01141,1p
LINC01142,1q
LINC01144,1p
LINC01145,1q
LINC01160,1p
LINC01221,1q
LINC01222,1q
LINC01226,1p
LINC01307,1p
LINC01341,1q
LINC01342,1p
LINC01343,1p
LINC01344,1q
LINC01345,1p
LINC01346,1p
LINC01347,1q
LINC01348,1q
LINC01349,1p
LINC01350,1q
LINC01351,1q
LINC01352,1q
LINC01353,1q
LINC01354,1q
LINC01355,1p
LINC01356,1p
LINC01358,1p
LINC01359,1p
LINC01360,1p
LINC01361,1p
LINC01362,1p
LINC01363,1q
LINC01364,1p
LINC01389,1p
LINC01397,1p
LINC01398,1p
LINC01461,1p
LINC01525,1p
LINC01555,1p
LINC01562,1p
LINC01633,1q
LINC01635,1p
LINC01645,1q
LINC01646,1p
LINC01647,1p
LINC01648,1p
LINC01649,1p
LINC01650,1p
LINC01653,1q
LINC01654,1p
LINC01655,1q
LINC01657,1q
LINC01661,1p
LINC01672,1p
LINC01675,1q
LINC01676,1p
LINC01677,1p
LINC01680,1q
LINC01681,1q
LINC01682,1q
LINC01685,1p
LINC01686,1q
LINC01688,1q
LINC01693,1q
LINC01696,1q
LINC01698,1q
LINC01699,1q
LINC01703,1q
LINC01704,1q
LINC01707,1p
LINC01708,1p
LINC01710,1q
LINC01712,1p
LINC01714,1p
LINC01715,1p
LINC01717,1q
LINC01719,1q
LINC01720,1q
LINC01724,1q
LINC01725,1p
LINC01732,1q
LINC01736,1q
LINC01737,1q
LINC01739,1p
LINC01740,1q
LINC01741,1q
LINC01743,1q
LINC01744,1q
LINC01745,1q
LINC01748,1p
LINC01750,1p
LINC01753,1p
LINC01755,1p
LINC01756,1p
LINC01757,1p
LINC01758,1p
LINC01760,1p
LINC01761,1p
LINC01762,1p
LINC01763,1p
LINC01767,1p
LINC01770,1p
LINC01771,1p
LINC01772,1p
LINC01774,1q
LINC01776,1p
LINC01777,1p
LINC01778,1p
LINC01780,1p
LINC01781,1p
LINC01783,1p
LINC01784,1p
LINC01787,1p
LINC01788,1p
LINC01930,1p
LINC02238,1p
LINC02257,1q
LINC02474,1q
LINC02567,1p
LINC02574,1p
LINC02586,1p
LINC02591,1q
LINC02593,1p
LINC02606,1p
LINC02607,1p
LINC02608,1q
LINC02609,1p
LINC02767,1q
LINC02774,1q
LINC02783,1p
LINC02789,1q
LINC02790,1p
LINC02800,1p
LINC02801,1p
LINC02805,1q
LINC02809,1q
LINC02817,1q
LINC02868,1p
LINC02869,1q
LINGO4,1q
LIX1L,1q
LIX1L-AS1,1q
LMNA,1q
LMO4,1p
LMOD1,1q
LMX1A,1q
LNCTAM34A,1p
LOC100129138,1p
LOC100129534,1p
LOC100129620,1p
LOC100130331,1q
LOC100131107,1q
LOC100132062,5q
LOC100132287,5q
LOC100287049,1q
LOC100288069,1p
LOC100288175,1p
LOC100422212,1q
LOC100505918,1q
LOC100506023,1q
LOC100506730,1p
LOC100507564,1p
LOC100507634,1p
LOC100996263,1p
LOC100996318,1p
LOC100996583,1p
LOC100996720,1p
LOC100996740,1q
LOC101060524,1q
LOC101926944,1p
LOC101926964,1p
LOC101927143,1q
LOC101927164,1q
LOC101927342,1p
LOC101927429,1q
LOC101927434,1p
LOC101927468,1q
LOC101927478,1q
LOC101927560,1p
LOC101927604,1q
LOC101927787,1q
LOC101927851,1q
LOC101928009,1q
LOC101928034,1q
LOC101928068,1q
LOC101928118,1p
LOC101928120,1q
LOC101928163,1p
LOC101928177,1q
LOC101928370,1p
LOC101928372,1q
LOC101928436,1p
LOC101928565,1q
LOC101928596,1q
LOC101928626,1p
LOC101928718,1p
LOC101928728,1p
LOC101928977,1p
LOC101929099,1p
LOC101929536,1p
LOC101929626,1p
LOC101929935,1p
LOC102606465,1p
LOC103021295,17p
LOC105369140,1q
LOC105369199,1p
LOC105371215,1q
LOC105371433,1q
LOC105371458,1q
LOC105373159,1q
LOC105373289,1q
LOC105376805,1p
LOC105378586,1p
LOC105378591,1p
LOC105378614,1p
LOC105378663,1p
LOC105378933,1p
LOC105378948,1p
LOC105378949,1p
LOC107985115,1q
LOC107985184,1p
LOC107985246,1q
LOC107985355,1q
LOC107985524,1p
LOC107985728,1p
LOC112267871,1p
LOC112268219,1p
LOC112543491,1q
LOC117779438,1p
LOC148696,1q
LOC284581,1q
LOC339539,1p
LOC343052,1q
LOC440700,1q
LOC643441,1p
LOC644634,1q
LOC646471,1p
LOC646626,1p
LOC647070,1q
LOC653160,1p
LOC653513,1q
LOC728989,1q
LOC729737,1p
LOC729867,1q
LOC729930,1p
LOC91548,1q
LORICRIN,1q
LPAR3,1p
LPGAT1,1q
LPGAT1-AS1,1q
LRIF1,1p
LRIG2,1p
LRIG2-DT,1p
LRP8,1p
LRRC38,1p
LRRC39,1p
LRRC40,1p
LRRC41,1p
LRRC42,1p
LRRC47,1p
LRRC52,1q
LRRC52-AS1,1q
LRRC53,1p
LRRC7,1p
LRRC71,1q
LRRC8B,1p
LRRC8C,1p
LRRC8C-DT,1p
LRRC8D,1p
LRRIQ3,1p
LRRN2,1q
LSM10,1p
LSP1P5,1q
LURAP1,1p
LUZP1,1p
LY9,1q
LYPD8,1q
LYPD9P,1q
LYPLA2,1p
LYPLAL1,1q
LYPLAL1-AS1,1q
LYPLAL1-DT,1q
LYSMD1,1q
LYST,1q
LZIC,1p
MAB21L3,1p
MACF1,1p
MACO1,1p
MAD2L2,1p
MAEL,1q
MAGI3,1p
MAGOH,1p
MAN1A2,1p
MAN1C1,1p
MANEAL,1p
MAP10,1q
MAP1LC3C,1q
MAP3K21,1q
MAP3K6,1p
MAP7D1,1p
MAPKAPK2,1q
MARCKSL1,1p
MARK1,1q
MASP2,1p
MAST2,1p
MATN1,1p
MATN1-AS1,1p
MCL1,1q
MCOLN2,1p
MCOLN3,1p
MDM4,1q
MDS2,1p
MEAF6,1p
MECR,1p
MED18,1p
MED8,1p
MEF2D,1q
MEGF6,1p
METTL11B,1q
METTL18,1q
MEX3A,1q
MFAP2,1p
MFN2,1p
MFSD14A,1p
MFSD2A,1p
MFSD4A,1q
MFSD4A-AS1,1q
MGAT4EP,1q
MGAT4FP,1q
MGC27382,1p
MGC34796,1p
MGST3,1q
MIA3,1q
MIB2,1p
MICOS10,1p
MICOS10-NBL1,1p
MIER1,1p
MIG7,1p
MIGA1,1p
MIIP,1p
MINDY1,1q
MIR101-1,1p
MIR11399,1p
MIR1182,1q
MIR12116,1q
MIR12132,1p
MIR12133,1p
MIR12136,1p
MIR1231,1q
MIR1255B2,1q
MIR1256,1p
MIR1262,1p
MIR1278,1q
MIR1290,1p
MIR1295A,1q
MIR1295B,1q
MIR1302-10,9p
MIR1302-11,9p
MIR1302-2,9p
MIR1302-9,9p
MIR135B,1q
MIR137,1p
MIR137HG,1p
MIR1537,1q
MIR181A1,1q
MIR181A1HG,1q
MIR181B1,1q
MIR1843,1q
MIR186,1p
MIR190B,1q
MIR194-1,1q
MIR197,1p
MIR1976,1p
MIR199A2,1q
MIR200A,1p
MIR200B,1p
MIR205,1q
MIR205HG,1q
MIR214,1q
MIR215,1q
MIR2682,1p
MIR29B2,1q
MIR29B2CHG,1q
MIR29C,1q
MIR30C1,1p
MIR30E,1p
MIR3115,1p
MIR3116-1,1p
MIR3116-2,1p
MIR3117,1p
MIR3119-1,1q
MIR3119-2,1q
MIR3120,1q
MIR3121,1q
MIR3122,1q
MIR3123,1q
MIR3124,1q
MIR320B1,1p
MIR320B2,1q
MIR34A,1p
MIR34AHG,1p
MIR3605,1p
MIR3620,1q
MIR3658,1q
MIR3659,1p
MIR3659HG,1p
MIR3671,1p
MIR3675,1p
MIR378F,1p
MIR378G,1p
MIR3916,1q
MIR3917,1p
MIR3972,1p
MIR4251,1p
MIR4252,1p
MIR4253,1p
MIR4254,1p
